bank_name,asset_category,enforcement_action,cmp,2022_totalassets,2020_totalnie,2021_totalnie,2022_totalnie,2020_personnelcosts,2021_personnelcosts,2022_personnelcosts,2020_fte,2021_fte,2022_fte,2020_othernie,2021_othernie,2022_othernie,2020_consult,2021_consult,2022_consult,2020_legal,2021_legal,2022_legal
"Finance Factors, Limited",Community Bank,FALSE,NA,"596,976","18,668","17,810","16,560","11,949","10,866","9,675",119,119,113,"4,570","4,665","4,949",377,384,416,,,0
Financial Federal Bank,Community Bank,FALSE,NA,"891,834","14,894","15,780","15,388","11,419","11,667","11,456",59,57,58,"2,400","2,839","2,755",0,0,0,0,0,0
Financial Security Bank,Community Bank,FALSE,NA,"134,796","3,009",41,"3,644","1,819",13,"2,023",22,23,23,691,25,"1,128",0,0,0,0,0,0
FinWise Bank,Community Bank,FALSE,NA,"396,974","20,641","27,290","32,253","14,574","21,250","22,160",96,116,140,"5,373","5,230","8,086",0,621,"2,654",0,431,608
"First & Farmers National Bank, Inc.",Community Bank,FALSE,NA,"624,296","16,252","16,413","15,941","8,354","8,832","8,357",133,124,117,"4,951","4,639","4,482",0,0,0,0,0,0
First & Peoples Bank and Trust Company,Community Bank,FALSE,NA,"252,898","6,784","6,576","6,637","3,342","3,536","3,416",52,51,50,"2,497","2,147","2,364",100,0,0,0,0,0
First American Bank,Community Bank,FALSE,NA,"34,031","1,016","1,008","1,055",530,554,579,11,11,11,383,347,370,0,0,0,0,0,0
First American Bank,Community Bank,FALSE,NA,"1,744,541","32,134","32,023","35,740","20,378","20,560","19,234",225,218,250,"8,701","8,384","10,904","1,396","1,407","1,508",0,0,0
First American Bank and Trust,Community Bank,FALSE,NA,"1,415,309","27,970","30,100","31,777","17,585","18,495","19,771",221,214,229,"5,470","5,760","6,542",0,0,0,0,0,0
First American Bank and Trust Company,Community Bank,FALSE,NA,"870,953","17,410","18,410","17,799","11,503","12,054","11,518",103,97,103,"2,884","3,463","3,356",,,,,,
First American National Bank,Community Bank,FALSE,NA,"373,893","12,353","13,091","13,351","7,123","7,732","7,698",109,112,114,"4,181","4,442","4,780",9,0,0,132,0,0
First American State Bank,Community Bank,FALSE,NA,"259,382","5,741","6,357","6,068","3,470","4,110","3,875",24,25,25,"1,763","1,730","1,623",0,0,0,190,208,0
First Arkansas Bank and Trust,Community Bank,FALSE,NA,"985,331","43,463","45,728","56,228","20,379","20,224","21,652",272,251,268,"18,475","20,969","29,724",0,0,0,0,0,0
First Bank,Community Bank,FALSE,NA,"148,756","3,718","3,731","3,966","2,285","2,167","2,277",31,30,31,"1,210","1,333","1,459",0,0,0,17,16,13
First Bank,Community Bank,FALSE,NA,"691,261","12,540","13,503","14,866","7,469","7,907","8,189",99,100,100,"3,428","3,949","4,902",0,0,0,0,0,0
First Bank,Community Bank,FALSE,NA,"631,768","30,808","36,422","35,293","23,280","27,904","26,908",163,198,184,"5,376","6,018","5,906",0,0,0,0,0,0
First Bank,Community Bank,FALSE,NA,"101,135","2,394","2,417","2,601","1,511","1,509","1,588",20,22,20,681,714,818,0,0,0,0,0,0
First Bank,Community Bank,FALSE,NA,"126,927","2,642","2,734","2,782","1,408","1,394","1,472",24,25,23,958,"1,051","1,029",0,0,5,0,0,0
First Bank,Community Bank,FALSE,NA,"689,237","11,197","11,474","12,305","6,703","6,868","7,025",89,79,81,"2,098","2,146","2,646",0,102,0,171,124,0
First Bank,Community Bank,FALSE,NA,"787,709","21,275","21,620","21,422","13,192","13,524","13,285",135,135,131,"5,577","5,773","5,726",474,689,231,33,55,126
First Bank,Community Bank,FALSE,NA,"557,066","16,443","14,553","14,750","9,159","7,930","8,172",125,114,115,"4,114","3,450","3,360",423,0,0,0,0,0
First Bank,Community Bank,FALSE,NA,"1,369,639","23,489","32,445","35,405","13,322","17,793","20,709",150,202,206,"6,643","10,968","10,262",922,"1,795","1,213",0,0,0
First Bank & Trust Company,Community Bank,FALSE,NA,"225,163","5,894","6,153","6,134","3,197","3,253","3,183",51,51,48,"2,195","2,379","2,432",0,0,0,0,0,0
First Bank & Trust Company,Community Bank,FALSE,NA,"824,264","18,394","21,992","22,559","11,102","13,152","13,866",166,189,190,"5,226","5,977","5,588",0,0,0,264,161,47
First Bank and Trust Company,Community Bank,FALSE,NA,"94,302","2,040","2,156","2,151","1,341","1,403","1,328",14,15,13,527,559,619,0,0,0,0,0,0
First Bank and Trust Company,Community Bank,FALSE,NA,"64,245","2,112","1,757","1,656","1,151",953,856,15,14,14,743,653,633,0,0,0,0,0,0
First Bank and Trust Company of Illinois,Community Bank,FALSE,NA,"203,893","6,314","6,055","7,257","3,546","3,487","3,941",26,28,27,"2,265","2,088","2,753",0,0,251,279,207,331
First Bank and Trust of Fullerton,Community Bank,FALSE,NA,"99,699","1,923","2,049","1,995","1,143","1,229","1,142",14,14,13,586,602,648,0,0,0,0,0,0
First Bank and Trust of Memphis,Community Bank,FALSE,NA,"66,602","1,477","1,469","1,485",815,814,812,10,11,9,560,559,567,13,48,49,0,0,0
First Bank Blue Earth,Community Bank,FALSE,NA,"318,066","4,510","4,995","5,218","2,783","3,005","3,134",32,34,33,"1,388","1,646","1,686",1,133,17,39,25,34
First Bank Elk River,Community Bank,FALSE,NA,"356,859","7,676","8,333","8,889","4,880","5,365","5,712",47,48,45,"1,630","1,830","2,008",0,0,0,0,0,0
First Bank Hampton,Community Bank,FALSE,NA,"217,904","3,646","4,419","4,544","2,247","2,576","2,747",25,30,30,"1,020","1,268","1,291",0,0,0,0,0,0
First Bank Kansas,Community Bank,FALSE,NA,"559,190","18,588","17,151","18,188","9,431","9,628","10,330",124,126,123,"7,616","5,804","6,057",,,,,,
First Bank of Alabama,Community Bank,FALSE,NA,"921,097","14,269","18,094","20,988","7,371","8,707","9,726",89,111,129,"4,632","6,759","8,433",0,0,0,0,0,0
First Bank of Bancroft,Community Bank,FALSE,NA,"29,740",594,627,603,330,306,310,3,4,4,187,225,199,0,0,0,0,0,0
First Bank of Beloit,Community Bank,FALSE,NA,"106,248","2,219","2,403","2,412","1,350","1,505","1,454",14,15,16,649,671,720,0,0,0,0,0,0
First Bank of Berne,Community Bank,FALSE,NA,"1,045,354","16,970","17,616","19,297","9,169","9,413","9,780",112,109,110,"6,230","6,566","7,664",314,413,486,53,11,31
First Bank of Boaz,Community Bank,FALSE,NA,"249,562","3,422","3,159","3,311","1,761","1,504","1,619",25,23,24,"1,296","1,294","1,330",0,0,0,0,0,0
First Bank of Central Ohio,Community Bank,FALSE,NA,"111,638",NA,"1,850","4,194",NA,"1,327","3,269",NA,15,19,NA,427,645,,0,0,,42,0
First Bank of Coastal Georgia,Community Bank,FALSE,NA,"191,283","3,130","3,090","3,279","1,650","1,546","1,655",32,31,29,"1,136","1,219","1,318",0,0,0,0,0,0
First Bank of Manhattan,Community Bank,FALSE,NA,"238,655","5,240","5,539","5,614","3,110","3,367","3,422",44,42,44,"1,540","1,597","1,651",102,95,66,86,25,7
First Bank of Ohio,Community Bank,FALSE,NA,"299,515","4,029","4,155","4,568","1,966","2,153","2,354",46,43,45,"1,642","1,564","1,739",0,0,0,298,162,0
First Bank of Okarche,Community Bank,FALSE,NA,"143,562","1,692","1,754","1,755","1,090","1,097","1,104",9,8,8,548,634,615,0,0,0,7,4,0
First Bank of Owasso,Community Bank,FALSE,NA,"552,382","9,076","9,654","10,442","5,639","6,021","6,390",69,70,73,"2,387","2,646","2,964",0,0,128,0,0,0
First Bank of Pike,Community Bank,FALSE,NA,"70,153","2,729","3,024","3,244","1,455","1,610","1,845",24,23,24,940,"1,066","1,046",0,0,0,0,0,0
First Bank of the Lake,Community Bank,FALSE,NA,"528,470","11,481","19,709","29,913","8,154","14,800","22,768",75,118,174,"2,831","4,119","6,067",0,677,790,0,0,0
First Bank of Thomas,Community Bank,FALSE,NA,"50,819","1,099","1,232","1,159",602,707,625,7,8,7,385,402,396,0,0,0,0,1,0
First Bank of Utica,Community Bank,FALSE,NA,"78,266","1,957","1,834","2,051","1,313","1,327","1,413",14,14,14,475,351,476,1,0,0,18,0,0
First Bank Richmond,Community Bank,FALSE,NA,"1,324,581","22,852","26,143","28,190","13,436","15,482","16,277",170,173,181,"7,221","8,406","9,447",0,0,0,0,0,0
"First Bank, Upper Michigan",Community Bank,FALSE,NA,"572,592","15,776","15,569","16,416","9,708","9,549","9,965",123,122,124,"4,059","4,092","4,458",0,0,0,0,0,0
"First Bankers Trust Company, National Association",Community Bank,FALSE,NA,"1,117,412","20,485","22,120","23,554","12,706","13,947","14,579",175,173,167,"5,807","6,391","7,251",,286,155,194,,66
First Bethany Bank & Trust,Community Bank,FALSE,NA,"279,787","5,170","5,590","5,515","3,206","3,394","3,463",37,40,39,"1,401","1,537","1,386",104,102,59,5,2,2
First Cahawba Bank,Community Bank,FALSE,NA,"174,996","4,380","4,503","4,991","2,255","2,327","2,555",30,37,36,"1,886","1,907","2,161",0,0,0,0,0,0
First Capital Bank,Community Bank,FALSE,NA,"99,739","2,683","2,879","3,068","1,500","1,608","1,741",23,25,24,897,976,"1,028",0,0,0,0,0,0
First Capital Bank,Community Bank,FALSE,NA,"566,692","5,403","7,604","9,932","3,219","4,494","6,176",42,54,68,"1,351","1,942","2,377",0,0,0,0,0,0
First Central Bank,Community Bank,FALSE,NA,"128,728","2,813","3,254","3,298","1,724","1,887","1,929",23,23,23,700,863,864,0,0,0,0,0,0
First Central Bank McCook,Community Bank,FALSE,NA,"151,692","2,963","2,888","3,022","1,730","1,815","1,944",20,20,21,"1,045",863,856,120,0,0,0,108,0
First Central Savings Bank,Community Bank,FALSE,NA,"903,989","17,352","20,034","23,337","9,322","11,191","12,830",88,95,101,"5,281","5,825","6,820",583,456,662,710,574,0
First Central State Bank,Community Bank,FALSE,NA,"689,190","12,120","13,432","12,882","7,018","8,173","7,694",87,91,84,"3,914","3,795","3,842",0,0,0,173,203,199
First Century Bank,Community Bank,FALSE,NA,"563,299","11,843","12,479","13,598","7,201","7,511","7,524",90,86,86,"2,281","3,491","4,505",0,0,0,0,0,0
"First Century Bank, National Association",Community Bank,FALSE,NA,"714,519","13,136","12,211","13,811","6,153","6,264","7,494",63,68,68,"5,215","4,318","4,699",0,0,0,0,354,0
Chillicothe State Bank,Community Bank,TRUE,4000,"145,593","2,851","2,997","3,042","1,632","1,690","1,654",26,26,26,961,"1,045","1,123",100,102,113,0,0,0
First Choice Bank,Community Bank,FALSE,NA,"434,542","9,035","9,757","11,520","5,198","5,382","6,278",73,80,88,"2,951","3,343","3,947",134,139,462,15,23,24
First Citizens Bank,Community Bank,FALSE,NA,"1,608,286","28,189","28,771","28,976","18,932","18,660","19,295",200,196,202,"6,709","7,512","7,102",0,0,0,0,0,0
First Citizens Bank,Community Bank,FALSE,NA,"327,664","7,372","7,756","8,152","4,064","4,074","4,217",66,63,61,"2,536","2,651","3,331",,,,,,
First Citizens Bank of Butte,Community Bank,FALSE,NA,"86,463","2,125","2,162","2,200","1,489","1,458","1,492",18,18,13,487,553,566,0,0,0,0,0,0
First Citizens State Bank,Community Bank,FALSE,NA,"428,047","7,977","8,223","8,159","5,148","5,051","5,080",82,71,68,"2,071","2,427","2,307",31,52,19,28,7,5
First Colony Bank of Florida,Community Bank,FALSE,NA,"295,933","4,206","4,413","4,897","2,725","2,829","3,172",19,20,18,"1,100","1,192","1,325",0,0,0,0,0,0
First Colorado National Bank,Community Bank,FALSE,NA,"80,987","2,614","1,567","3,100","1,385",701,"1,668",18,17,20,"1,078",728,"1,155",0,0,0,0,0,0
First Columbia Bank & Trust Company,Community Bank,FALSE,NA,"940,278","17,260","18,042","18,886","9,891","9,552","10,406",171,167,159,"5,507","6,597","6,344",516,965,882,0,0,0
First Command Bank,Community Bank,FALSE,NA,"1,092,763","27,529","31,778","35,469","8,388","9,084","9,776",84,94,91,"18,641","22,322","25,442",250,395,"1,122",128,46,
First Commerce Bank,Community Bank,FALSE,NA,"128,250","2,472","2,504","2,551","1,666","1,690","1,707",16,15,14,578,592,631,0,0,0,0,0,0
First Commerce Bank,Community Bank,FALSE,NA,"572,425","9,859","10,538","11,741","6,170","6,713","7,510",62,64,68,"2,776","2,852","3,250",0,0,0,0,0,0
First Commerce Bank,Community Bank,FALSE,NA,"1,292,126","20,679","21,556","26,133","12,780","13,359","16,020",159,156,163,"5,174","5,219","6,942",0,0,487,0,0,0
First Commercial Bank,Community Bank,FALSE,NA,"869,275","16,036","20,836","23,352","11,093","14,242","15,431",85,93,94,"3,744","4,685","5,265",379,533,533,102,0,0
First Commercial Bank (U.S.A),Community Bank,FALSE,NA,"852,776","10,878","11,451","13,593","7,104","7,376","8,617",91,85,100,"1,919","2,069","2,595",177,197,250,0,0,0
"First Commercial Bank, National Association",Community Bank,FALSE,NA,"547,475","12,052","13,175","14,607","7,568","8,062","9,000",82,89,86,"2,820","3,396","3,810",0,0,0,0,0,0
First Community Bank,Community Bank,FALSE,NA,"117,264","2,290","2,157","3,190","1,468","1,185","1,958",23,22,28,436,544,747,0,0,0,4,27,7
First Community Bank,Community Bank,FALSE,NA,"701,415","16,483","15,750","17,393","9,464","9,710","10,493",118,118,119,"4,936","3,774","4,621",95,100,46,55,22,38
First Community Bank,Community Bank,FALSE,NA,"630,697","20,103","21,569","23,046","11,415","11,932","12,273",165,165,166,"5,863","6,383","7,045",0,0,0,0,0,0
First Community Bank,Community Bank,FALSE,NA,"142,725","2,839","2,962","2,865","1,857","2,025","1,822",22,20,21,769,742,846,0,0,0,0,0,0
First Community Bank,Community Bank,FALSE,NA,"435,535","10,855","11,067","11,997","6,188","6,500","6,888",73,70,68,"2,797","2,574","3,041",0,194,0,0,0,0
First Community Bank,Community Bank,FALSE,NA,"219,353","5,067","5,429","5,185","2,898","3,151","3,079",28,29,29,"1,450","1,519","1,375",0,0,0,2,44,11
First Community Bank,Community Bank,FALSE,NA,"83,141","1,758","1,718","1,777","1,129","1,172","1,107",13,13,12,438,356,459,0,0,0,0,0,0
First Community Bank,Community Bank,FALSE,NA,"1,672,295","36,617","38,068","39,888","23,676","24,136","24,872",244,250,254,"8,903","9,799","10,835",353,344,482,303,0,203
First Community Bank and Trust,Community Bank,FALSE,NA,"204,023","4,396","4,268","4,561","2,466","2,413","2,532",29,28,28,"1,494","1,449","1,638",0,0,0,0,0,0
First Community Bank of Central Alabama,Community Bank,FALSE,NA,"563,965","10,036","11,067","12,422","5,800","6,283","7,026",83,87,81,"3,011","3,605","4,047",176,952,0,0,0,0
First Community Bank of Cullman,Community Bank,FALSE,NA,"121,198","3,099","3,352","3,447","1,524","1,551","1,597",19,21,17,"1,206","1,422","1,455",0,0,0,0,0,0
First Community Bank of East Tennessee,Community Bank,FALSE,NA,"206,677","6,035","5,540","5,645","3,424","3,293","3,354",53,51,51,"1,881","1,623","1,712",0,0,0,0,0,0
First Community Bank of Hillsboro,Community Bank,FALSE,NA,"145,201","2,179","2,364","2,441","1,275","1,332","1,397",22,22,21,696,809,820,0,0,0,0,0,0
First Community Bank of Moultrie County,Community Bank,FALSE,NA,"111,122","2,373","2,424","2,500","1,342","1,406","1,451",22,20,21,787,754,786,0,0,0,0,0,0
First Community Bank of Tennessee,Community Bank,FALSE,NA,"788,367","88,741","94,748","51,222","65,747","73,768","54,300",428,466,512,"19,833","17,047","-6,986","1,633",98,80,443,454,363
"First Community Bank of the Heartland, Inc.",Community Bank,FALSE,NA,"404,673","9,835","11,340","12,905","4,844","5,587","6,509",87,98,105,"3,695","4,251","4,740",118,159,207,0,0,0
First Community Bank of the Ozarks,Community Bank,FALSE,NA,"151,982","3,467","3,546","3,595","1,803","1,796","1,903",28,29,30,"1,042","1,144","1,219",0,0,0,0,0,0
First Community Bank Xenia-Flora,Community Bank,FALSE,NA,"56,694","1,058","1,109","1,159",710,725,771,11,11,12,214,220,235,0,0,0,0,0,0
"First Community Trust, National Association",Community Bank,FALSE,NA,"13,835","4,304","4,990","5,065","3,103","3,543","3,264",18,19,20,"1,135","1,396","1,747",0,0,0,0,0,0
First Credit Bank,Community Bank,FALSE,NA,"581,115","5,432","4,601","2,376","8,472","8,445","8,726",25,25,24,"2,559","1,743","1,781",0,0,0,0,238,0
First Eagle Bank,Community Bank,FALSE,NA,"573,144","8,360","8,814","9,151","5,583","5,877","6,073",40,44,46,"1,794","1,875","2,048",0,0,0,0,0,0
First Electronic Bank,Community Bank,FALSE,NA,"191,215","12,139","14,249","21,384","8,413","8,854","11,970",60,52,65,"3,130","4,702","8,654",239,0,648,0,0,0
First Enterprise Bank,Community Bank,FALSE,NA,"181,816","6,356","6,697","7,244","4,016","4,289","4,602",59,53,59,"1,632","1,712","1,929",0,0,0,0,0,0
First Exchange Bank,Community Bank,FALSE,NA,"324,417","8,359","7,869","9,661","3,841","3,219","4,631",60,59,65,"3,068","3,192","3,761",114,0,0,22,0,0
First FarmBank,Community Bank,FALSE,NA,"343,752","7,581","7,954","8,642","4,564","4,799","5,169",54,54,56,"1,888","2,005","2,269",0,0,0,0,0,0
First Farmers & Merchants Bank,Community Bank,FALSE,NA,"462,251","9,065","9,191","9,261","4,379","4,319","4,427",55,54,53,"4,037","4,288","4,245",0,0,0,0,142,0
First Farmers & Merchants National Bank,Community Bank,FALSE,NA,"226,536","4,502","4,376","4,547","2,342","2,028","2,043",29,25,26,"1,887","2,102","2,267",0,0,0,0,136,156
First Farmers & Merchants National Bank,Community Bank,FALSE,NA,"131,978","3,002","3,236","3,481","1,528","1,600","1,753",16,15,16,"1,282","1,466","1,492",0,0,0,0,0,0
First Farmers & Merchants State Bank,Community Bank,FALSE,NA,"98,894","2,110","2,112","2,340","1,005",982,"1,077",13,13,13,957,968,"1,102",0,0,0,0,0,0
First Farmers & Merchants State Bank of Grand Meadow,Community Bank,FALSE,NA,"97,650","2,003","2,046","2,244",896,937,"1,080",11,12,15,914,921,946,0,0,0,0,0,0
First Farmers and Commercial Bank,Community Bank,FALSE,NA,"200,429","3,689","4,116","4,418","2,328","2,526","2,515",35,36,44,823,923,"1,217",0,0,0,0,0,0
First Farmers and Merchants Bank,Community Bank,FALSE,NA,"1,939,730","39,818","42,503","39,748","24,344","26,608","23,171",252,244,242,"11,453","11,779","12,669",,,,,,
First Federal Bank,Community Bank,FALSE,NA,"1,022,264","16,083","16,007","16,578","8,622","8,723","8,754",176,167,165,"5,471","5,440","5,929",0,0,0,0,0,0
First Federal Bank,Community Bank,FALSE,NA,"254,944","7,304","7,226","7,479","4,397","4,294","4,289",56,50,50,"1,982","2,050","2,330",125,134,165,13,10,9
First Federal Bank & Trust,Community Bank,FALSE,NA,"543,770","12,827","13,220","14,677","7,398","7,828","8,017",75,76,80,"4,554","4,535","5,635",322,581,540,0,0,0
"First Federal Bank Littlefield, Texas, SSB",Community Bank,FALSE,NA,"57,457","1,784","1,949","2,072","1,050","1,149","1,181",17,16,19,594,661,746,0,20,0,0,11,0
First Federal Bank of Kansas City,Community Bank,FALSE,NA,"934,949","33,726","30,195","27,473","23,504","19,330","14,663",163,161,154,"7,611","8,121","9,840",0,0,0,0,0,751
First Federal Bank of Louisiana,Community Bank,FALSE,NA,"1,196,746","27,168","27,326","28,848","14,946","15,147","15,406",215,211,209,"8,101","7,641","8,506",254,139,310,33,30,23
First Federal Bank of Ohio,Community Bank,FALSE,NA,"271,788","7,483","8,049","7,351","3,501","3,460","3,448",60,60,59,"2,674","3,134","2,471",0,0,0,0,0,0
First Federal Bank of Wisconsin,Community Bank,FALSE,NA,"322,879","7,276","8,603","8,770","4,334","5,191","5,314",43,53,52,"2,039","2,367","2,300",0,0,0,0,0,0
"First Federal Bank, A FSB",Community Bank,FALSE,NA,"139,477","19,596","21,423","16,339","13,531","14,538","10,765",111,118,108,"4,860","5,567","4,103",0,0,,0,0,
First Federal Community Bank of Bucyrus,Community Bank,FALSE,NA,"253,548","10,787","11,642","10,447","7,186","7,806","6,392",75,85,79,"2,678","2,924","3,019",0,0,0,0,0,0
"First Federal Community Bank, National Association",Community Bank,FALSE,NA,"681,500","10,068","11,087","12,709","6,366","6,846","7,566",74,83,81,"2,800","3,273","3,845",149,163,172,56,24,
"First Federal Community Bank, SSB",Community Bank,FALSE,NA,"536,877","13,159","13,551","14,795","7,632","8,031","8,620",84,85,88,"4,130","4,035","4,609",47,86,58,0,0,0
First Federal Savings & Loan Association of Pascagoula-Moss Point,Community Bank,FALSE,NA,"342,021","7,789","8,330","8,627","4,653","4,963","5,010",60,58,57,"2,223","2,405","2,559",100,102,160,32,55,50
First Federal Savings & Loan Association of Valdosta,Community Bank,FALSE,NA,"200,083","7,464","7,400","8,138","4,329","4,311","4,566",46,45,44,"2,441","2,393","2,755",0,0,0,0,0,0
First Federal Savings and Loan Association,Community Bank,FALSE,NA,"24,050",538,555,541,349,372,339,4,4,4,116,110,109,0,0,0,0,0,0
First Federal Savings and Loan Association,Community Bank,FALSE,NA,"48,082",636,741,803,349,418,395,4,4,4,242,285,309,0,0,0,0,0,0
First Federal Savings and Loan Association,Community Bank,FALSE,NA,"81,201","1,752","1,526","1,383","1,065",937,799,9,9,9,586,502,488,0,0,0,0,0,0
First Federal Savings and Loan Association,Community Bank,FALSE,NA,"35,412","1,085","1,032","1,092",621,571,589,6,6,6,389,364,400,34,30,33,0,6,0
First Federal Savings and Loan Association of Bath,Community Bank,FALSE,NA,"181,529","4,713","5,223","5,360","2,600","2,886","2,954",34,37,34,"1,307","1,584","1,615",0,218,230,50,4,4
First Federal Savings and Loan Association of Centerburg,Community Bank,FALSE,NA,"26,306",591,639,651,347,363,375,4,4,4,215,246,206,0,0,0,0,0,0
"First Federal Savings and Loan Association of Central Illinois, S.B.",Community Bank,FALSE,NA,"194,112","5,141","4,738","5,480","3,215","2,894","3,535",34,32,35,"1,552","1,463","1,505",0,0,0,0,0,0
First Federal Savings and Loan Association of Delta,Community Bank,FALSE,NA,"232,834","4,925","4,827","5,244","2,402","2,362","2,568",38,35,36,"1,869","1,799","2,010",0,0,0,6,0,8
First Federal Savings and Loan Association of Greene County,Community Bank,FALSE,NA,"1,056,311","18,769","18,473","18,229","12,202","11,873","11,095",125,124,125,"4,466","4,449","4,897",0,0,0,0,0,0
First Federal Savings and Loan Association of Greensburg,Community Bank,FALSE,NA,"189,900","4,083","3,911","3,894","2,154","2,030","1,947",36,36,36,"1,490","1,446","1,530",0,0,5,0,0,0
First Federal Savings and Loan Association of Lorain,Community Bank,FALSE,NA,"526,440","13,844","14,356","14,534","7,644","7,957","8,007",97,101,99,"4,705","4,876","4,937",0,0,0,0,0,0
First Federal Savings and Loan Association of McMinnville,Community Bank,FALSE,NA,"624,594","11,991","13,446","14,763","7,339","8,180","8,837",88,93,84,"3,498","3,869","4,117",45,42,120,29,48,99
First Federal Savings and Loan Association of Newark,Community Bank,FALSE,NA,"251,837","7,046","7,215","7,401","3,711","3,811","3,936",59,60,57,"2,338","2,512","2,609",0,0,20,0,0,26
First Federal Savings and Loan Association of San Rafael,Community Bank,FALSE,NA,"226,073","6,010","6,538","6,836","3,746","3,950","4,044",34,32,34,"1,300","1,593","1,643",141,324,316,0,0,0
"First Federal Savings and Loan Association of Van Wert, OH",Community Bank,FALSE,NA,"142,139","2,688","2,989","3,406","1,634","1,667","1,792",20,22,22,860,"1,122","1,339",15,16,21,0,0,0
First Federal Savings and Loan Bank,Community Bank,FALSE,NA,"95,708","1,190",931,921,755,525,468,6,7,7,392,355,400,0,0,0,38,22,0
First Federal Savings Bank,Community Bank,FALSE,NA,"363,836","10,243","10,336","10,802","6,096","6,438","6,810",109,109,99,"2,653","2,360","2,437",10,37,16,0,0,0
First Federal Savings Bank,Community Bank,FALSE,NA,"573,940","13,689","14,356","15,529","7,362","7,668","8,432",112,113,127,"4,661","5,045","5,304",4,11,31,77,98,99
First Federal Savings Bank,Community Bank,FALSE,NA,"445,408","9,590","9,648","10,558","5,417","5,224","5,559",77,86,91,"2,849","3,060","3,340",0,0,0,0,0,0
First Federal Savings Bank,Community Bank,FALSE,NA,"584,189","25,813","24,488","20,266","21,659","19,519","13,419",146,151,137,"3,118","3,999","5,802",0,0,0,0,0,0
First Federal Savings Bank of Angola,Community Bank,FALSE,NA,"150,155","2,917","2,859","3,015","1,496","1,436","1,479",25,24,24,"1,140","1,160","1,251",41,44,39,12,0,1
First Federal Savings Bank of Champaign-Urbana,Community Bank,FALSE,NA,"218,746","7,142","7,746","7,393","4,306","4,262","4,299",57,53,52,"1,406","2,021","1,601",0,0,0,0,0,0
First Federal Savings Bank of Kentucky,Community Bank,FALSE,NA,"254,739","19,829","6,212","5,913","4,138","4,142","3,900",52,54,55,"1,610","1,471","1,465",0,0,0,0,0,0
First Federal Savings Bank of Lincolnton,Community Bank,FALSE,NA,"431,413","8,424","8,792","8,650","4,754","5,132","4,856",44,47,47,"2,798","2,908","2,957",0,0,0,0,0,0
First Federal Savings Bank of Mascoutah,Community Bank,FALSE,NA,"167,609","2,330","2,535","2,770","1,319","1,514","1,625",18,19,19,773,785,847,75,17,13,1,6,3
First Federal Savings Bank of Twin Falls,Community Bank,FALSE,NA,"1,369,956","35,657","40,250","39,960","23,022","26,564","25,114",262,282,254,"7,700","8,317","9,342",151,200,234,34,31,115
First Federal Savings Bank of Washington,Community Bank,FALSE,NA,"75,295","2,290","2,318","2,229","1,294","1,198","1,086",17,17,14,711,808,879,0,0,0,0,0,0
First Federal Savings of Middletown,Community Bank,FALSE,NA,"170,869","3,162","3,218","3,734","1,929","1,938","2,267",11,11,12,996,991,"1,178",69,0,0,0,0,0
First Fidelity Bank,Community Bank,FALSE,NA,"142,529","2,406","2,545","2,677","1,255","1,314","1,408",23,24,24,778,848,862,0,0,0,0,0,0
First Fidelity Bank,Community Bank,FALSE,NA,"516,263","9,610","10,258","10,029","6,652","7,119","6,633",81,84,85,"2,115","2,244","2,408",0,0,0,60,36,0
First Financial Bank,Community Bank,FALSE,NA,"221,006","7,167","7,311","8,109","3,714","3,815","4,120",71,70,73,"2,604","2,675","3,131",147,112,175,13,0,0
First Financial Bank,Community Bank,FALSE,NA,"1,436,326","52,553","53,744","54,183","31,010","32,434","31,841",352,356,336,"16,440","16,317","17,460",0,"1,846",0,0,0,0
First Financial Bank in Winnebago,Community Bank,FALSE,NA,"55,599","1,249","1,290","1,310",893,909,885,10,10,10,211,215,267,0,0,0,0,0,0
First Financial Northwest Bank,Community Bank,FALSE,NA,"1,502,767","31,321","31,866","34,167","19,503","19,701","20,582",150,143,150,"7,869","7,933","9,139",0,814,832,0,0,0
"First Financial Trust & Asset Management Company, National Association",Community Bank,FALSE,NA,"48,576","12,749","15,322","15,445","8,308","9,949","10,305",68,67,71,"3,814","4,405","4,475",0,0,0,0,0,0
First Financial Trust National Association,Community Bank,FALSE,NA,"13,753","2,270","2,316","2,466","1,348","1,463","1,661",11,10,10,680,696,670,0,0,0,0,0,0
First Freedom Bank,Community Bank,FALSE,NA,"625,916","11,538","14,180","13,018","6,562","9,173","7,594",70,72,69,"3,484","3,594","4,013",327,348,327,0,0,0
First General Bank,Community Bank,FALSE,NA,"1,175,415","12,731","13,804","14,933","7,359","8,318","9,146",68,69,69,"3,765","3,944","4,231",0,0,0,0,0,0
First Harrison Bank,Community Bank,FALSE,NA,"1,146,163","23,164","24,633","25,075","13,387","14,007","14,211",195,198,197,"7,532","8,440","8,663",0,0,0,0,0,0
First Heritage Bank,Community Bank,FALSE,NA,"59,624","1,268","1,350","1,333",774,833,788,9,7,9,351,381,422,20,36,38,0,0,0
First Heritage Bank,Community Bank,FALSE,NA,"229,275","4,445","4,759","4,779","3,089","3,172","3,072",31,31,29,962,"1,058","1,168",0,0,0,0,0,0
"First Hope Bank, A National Banking Association",Community Bank,FALSE,NA,"679,643","19,448","20,121","20,414","11,341","11,817","11,928",99,106,107,"5,335","5,410","5,571",597,624,636,191,130,83
