bank_name,asset_category,enforcement_action,cmp,2022_totalassets,2020_totalnie,2021_totalnie,2022_totalnie,2020_personnelcosts,2021_personnelcosts,2022_personnelcosts,2020_fte,2021_fte,2022_fte,2020_othernie,2021_othernie,2022_othernie,2020_consult,2021_consult,2022_consult,2020_legal,2021_legal,2022_legal
"Horizon Bank, SSB",Super Community Bank,FALSE,NA,"2,362,329","35,384","40,823","40,648","20,290","21,527","24,031",165,181,199,"9,878","10,812","10,946",517,537,576,390,239,198
HTLF Bank,Super Community Bank,FALSE,NA,"9,178,296","54,975","54,289","175,850","17,743","13,951","47,793",146,139,368,"27,170","30,949","110,531",0,,,0,,
Independence Bank of Kentucky,Super Community Bank,FALSE,NA,"3,469,556","57,659","63,391","67,532","33,927","37,720","41,743",400,414,454,"16,584","18,430","18,294",0,0,0,0,"1,544",0
Independent Bank,Super Community Bank,FALSE,NA,"4,995,759","121,350","129,118","126,857","73,615","78,337","79,859",928,928,865,"33,687","36,804","33,220",,,,,,
"Industrial and Commercial Bank of China (USA), National Association",Super Community Bank,FALSE,NA,"2,894,890","113,689","62,386","61,321","36,945","37,833","35,854",296,296,290,"9,403","11,618","12,277","1,933","2,257","2,969",320,372,657
Institution for Savings in Newburyport and Its Vicinity,Super Community Bank,FALSE,NA,"4,869,275","48,009","56,126","57,615","27,960","30,099","34,492",174,178,188,"13,534","19,578","16,779",,,,,,
Interaudi Bank,Super Community Bank,FALSE,NA,"2,485,002","29,835","31,014","33,926","20,674","21,740","23,397",106,113,123,"5,803","5,588","6,666","1,110",490,"1,055",145,144,75
InterBank,Super Community Bank,FALSE,NA,"4,075,196","66,027","68,784","75,459","36,601","40,582","43,683",506,515,507,"15,202","14,105","16,771",0,0,0,0,0,0
International Bank of Commerce,Super Community Bank,FALSE,NA,"3,892,731","23,202","22,880","62,573","7,936","7,383","20,695",177,427,446,"10,623","10,961","32,044",,,,,,
International Bank of Commerce,Super Community Bank,FALSE,NA,"8,748,621","209,832","197,083","171,070","101,261","97,496","87,465","1,812","1,380","1,300","72,614","64,528","57,505",,,"4,574",,,
"INTRUST Bank, National Association",Super Community Bank,FALSE,NA,"7,454,262","150,476","154,394","155,581","74,904","78,926","81,685",817,795,808,"59,395","60,221","57,893","6,672","6,883","6,548",0,,
"Investar Bank, National Association",Super Community Bank,FALSE,NA,"2,751,455","56,233","62,302","59,638","33,378","35,527","34,974",323,343,335,"15,683","18,745","16,909",618,770,686,95,138,198
Inwood National Bank,Super Community Bank,FALSE,NA,"4,352,084","45,737","47,322","49,740","27,758","28,506","29,752",230,227,221,"11,211","12,595","13,725",0,0,0,0,0,0
Ion Bank,Super Community Bank,FALSE,NA,"2,071,879","46,934","47,424","50,923","28,433","27,587","28,574",276,267,277,"13,194","14,050","15,768",0,0,0,0,0,0
Jefferson Bank,Super Community Bank,FALSE,NA,"2,858,671","61,550","68,153","72,117","41,376","46,713","49,290",359,367,381,"13,060","14,447","15,472",,"1,415","1,260",,,
"John Deere Financial, F.S.B.",Super Community Bank,FALSE,NA,"3,060,083","85,362","88,062","95,204","19,276","17,779","16,312",154,133,123,"64,337","68,543","77,401",0,0,0,0,0,0
John Marshall Bank,Super Community Bank,FALSE,NA,"2,345,424","28,559","30,955","31,157","17,700","19,453","19,897",136,138,139,"7,283","8,081","8,042",373,461,576,96,392,91
Johnson Bank,Super Community Bank,FALSE,NA,"6,057,275","169,013","183,370","189,936","119,407","115,376","123,744",883,854,877,"26,249","40,701","49,682","11,796","10,509","8,665",570,329,388
Kearny Bank,Super Community Bank,FALSE,NA,"8,283,971","117,545","120,820","126,774","65,144","71,439","79,755",564,541,544,"33,960","25,428","26,015",,,,,,
KS StateBank,Super Community Bank,FALSE,NA,"2,460,850","52,883","27,172","30,041","37,316","15,384","19,296",281,195,201,"11,389","8,769","7,504",349,142,434,440,808,-374
Lake City Bank,Super Community Bank,FALSE,NA,"6,412,535","88,898","98,303","103,633","47,737","51,609","51,803",585,582,609,"29,128","35,437","39,780","2,815","3,391","4,306","1,138","2,583","1,099"
"Lake Forest Bank & Trust Company, National Association",Super Community Bank,FALSE,NA,"7,602,722","113,471","130,141","154,227","73,295","80,813","93,742",569,587,653,"33,383","42,600","53,090",,,,,,
Lakeside Bank,Super Community Bank,FALSE,NA,"2,264,022","36,524","42,368","47,640","25,899","29,492","32,732",172,178,184,"5,640","7,075","8,024",573,"1,048",786,0,0,0
"Leader Bank, National Association",Super Community Bank,FALSE,NA,"3,907,635","51,726","59,949","68,418","35,263","42,384","49,245",316,403,392,"11,086","13,016","13,818","1,304","1,348","1,349",124,,
"LendingClub Bank, National Association",Super Community Bank,FALSE,NA,"7,589,906","53,040","547,798","724,304","25,846","239,838","306,473",174,"1,384","1,585","25,030","296,331","401,242","3,053","25,595","41,441","1,744",0,0
Liberty Bank,Super Community Bank,FALSE,NA,"6,944,336","148,614","155,709","171,299","85,874","88,998","95,874",702,670,730,"37,656","41,624","48,581","3,219","4,683",,,,
"Libertyville Bank & Trust Company, National Association",Super Community Bank,FALSE,NA,"2,437,042","25,518","26,252","26,885","11,944","12,553","12,777",98,81,85,"11,249","11,353","11,639",,,,,,
Live Oak Banking Company,Super Community Bank,FALSE,NA,"9,738,922","180,237","220,300","296,884","104,573","113,234","160,384",594,769,942,"47,266","77,871","106,972",,,,,,
Lone Star National Bank,Super Community Bank,FALSE,NA,"3,060,712","66,882","68,682","75,611","38,415","39,137","43,584",629,650,658,"20,200","21,165","22,861",737,0,0,"1,353",0,0
Luana Savings Bank,Super Community Bank,FALSE,NA,"2,036,937","19,518","32,362","18,450","10,505","11,469","10,787",98,98,98,"7,539","19,444","5,877",0,0,0,0,0,447
Luther Burbank Savings,Super Community Bank,FALSE,NA,"7,971,940","73,890","59,055","63,848","42,585","37,940","37,612",277,281,255,"23,704","13,525","18,469",,,,,,
Macatawa Bank,Super Community Bank,FALSE,NA,"2,906,669","44,980","45,252","47,484","25,159","24,821","25,752",329,312,319,"12,632","12,807","13,707",0,0,0,0,0,0
Machias Savings Bank,Super Community Bank,FALSE,NA,"2,360,784","50,809","57,014","60,170","26,520","30,881","31,840",296,293,308,"16,956","18,982","20,355",414,512,391,58,80,58
Manasquan Bank,Super Community Bank,FALSE,NA,"2,778,051","38,186","45,400","50,216","21,051","24,939","28,148",207,217,228,"11,888","14,405","16,416",0,,,251,,
Manufacturers Bank,Super Community Bank,FALSE,NA,"4,147,962","53,129","73,388","162,925","36,846","49,599","104,491",294,370,608,"11,880","19,110","53,556","2,897","6,714","26,857",0,0,0
Marquette Bank,Super Community Bank,FALSE,NA,"2,041,285","55,756","53,596","53,733","29,195","27,352","27,408",325,307,314,"17,505","17,325","17,596",,,,,,
